Gene stable ID,Gene name,Gene description,Gene start (bp),Gene end (bp),Gene % GC content
ENSG00000223972,DDX11L1,DEAD/H-box helicase 11 like 1 [Source:HGNC Symbol;Acc:HGNC:37102],11869,14409,57.50
ENSG00000227232,WASH7P,WAS protein family homolog 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:38034],14404,29570,54.43
ENSG00000278267,MIR6859-1,microRNA 6859-1 [Source:HGNC Symbol;Acc:HGNC:50039],17369,17436,61.76
ENSG00000243485,MIR1302-2HG,MIR1302-2 host gene [Source:HGNC Symbol;Acc:HGNC:52482],29554,31109,48.84
ENSG00000284332,MIR1302-2,microRNA 1302-2 [Source:HGNC Symbol;Acc:HGNC:35294],30366,30503,31.16
ENSG00000237613,FAM138A,family with sequence similarity 138 member A [Source:HGNC Symbol;Acc:HGNC:32334],34554,36081,50.26
ENSG00000268020,OR4G4P,olfactory receptor family 4 subfamily G member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:14822],52473,53312,37.74
ENSG00000240361,OR4G11P,olfactory receptor family 4 subfamily G member 11 pseudogene [Source:HGNC Symbol;Acc:HGNC:31276],57598,64116,34.27
ENSG00000186092,OR4F5,olfactory receptor family 4 subfamily F member 5 [Source:HGNC Symbol;Acc:HGNC:14825],65419,71585,32.06
ENSG00000238009,AL627309.1,novel transcript,89295,133723,39.91
ENSG00000239945,AL627309.3,novel transcript,89551,91105,48.75
ENSG00000233750,CICP27,capicua transcriptional repressor pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:48835],131025,134836,59.71
ENSG00000268903,AL627309.6,novel pseudogene,135141,135895,67.68
ENSG00000269981,AL627309.7,novel pseudogene,137682,137965,64.44
ENSG00000239906,AL627309.2,novel transcript,139790,140339,52.73
ENSG00000241860,AL627309.5,uncharacterized LOC100996442 [Source:NCBI gene;Acc:100996442],141474,173862,44.96
ENSG00000222623,RNU6-1100P,RNA, U6 small nuclear 1100, pseudogene [Source:HGNC Symbol;Acc:HGNC:48063],157784,157887,39.42
ENSG00000241599,AL627309.4,novel transcript,160446,161525,43.24
ENSG00000279928,FO538757.2,DEAD/H-box helicase 11 (DDX11) pseudogene,182696,184174,59.50
ENSG00000279457,FO538757.1,WAS protein family homolog 2-like [Source:NCBI gene;Acc:102723897],185217,195411,56.54
ENSG00000273874,MIR6859-2,microRNA 6859-2 [Source:HGNC Symbol;Acc:HGNC:49954],187891,187958,61.76
ENSG00000228463,AP006222.1,ribosomal protein L23a (RPL23A) pseudogene,257864,359681,39.98
ENSG00000236679,RPL23AP24,ribosomal protein L23a pseudogene 24 [Source:HGNC Symbol;Acc:HGNC:36176],347982,348366,50.39
ENSG00000236601,AL732372.1,novel transcript,358857,366052,47.65
ENSG00000237094,AL732372.2,pseudogene similar to part of septin 14 SEPT14,365389,522928,42.61
ENSG00000269732,WBP1LP7,WW domain binding protein 1-like pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:43955],439870,440232,50.96
ENSG00000284733,OR4F29,olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol;Acc:HGNC:31275],450703,451697,45.73
ENSG00000233653,CICP7,capicua transcriptional repressor pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:37756],487101,489906,61.69
ENSG00000250575,AL732372.3,novel pseudogene,491225,493241,66.19
ENSG00000278757,RF00026,,516376,516479,39.42
ENSG00000230021,AL669831.3,uncharacterized LOC101928626 [Source:NCBI gene;Acc:101928626],586071,827796,43.10
ENSG00000235146,AC114498.1,novel transcript,587629,594768,48.56
ENSG00000225972,MTND1P23,MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092],629062,629433,44.35
ENSG00000225630,MTND2P28,MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129],629640,630683,43.10
ENSG00000237973,MTCO1P12,MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014],631074,632616,45.76
ENSG00000278791,MIR6723,microRNA 6723 [Source:HGNC Symbol;Acc:HGNC:50152],632325,632413,49.44
ENSG00000229344,MTCO2P12,MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028],632757,633438,45.31
ENSG00000240409,MTATP8P1,MT-ATP8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44571],633535,633741,38.16
ENSG00000248527,MTATP6P1,MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575],633696,634376,43.91
ENSG00000198744,MTCO3P12,MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042],634376,634922,48.26
ENSG00000268663,WBP1LP6,WW domain binding protein 1-like pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:43956],674842,675265,51.18
ENSG00000284662,OR4F16,olfactory receptor family 4 subfamily F member 16 [Source:HGNC Symbol;Acc:HGNC:15079],685679,686673,45.73
ENSG00000229376,CICP3,capicua transcriptional repressor pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37742],722092,724903,61.45
ENSG00000228327,AL669831.1,general transcription factor IIi (GTF2I) pseudogene,725885,778626,46.47
ENSG00000223181,RNU6-1199P,RNA, U6 small nuclear 1199, pseudogene [Source:HGNC Symbol;Acc:HGNC:48162],758233,758336,39.42
ENSG00000229905,AL669831.2,novel transcript,760911,761989,43.19
ENSG00000237491,AL669831.5,novel transcript,778770,810060,40.42
ENSG00000285268,AL669831.7,novel septin family pseudogene,781937,782050,38.60
ENSG00000230092,AL669831.4,F-box only protein 25 (FBXO25) pseudogene,800879,817712,39.72
ENSG00000177757,FAM87B,family with sequence similarity 87 member B [Source:HGNC Symbol;Acc:HGNC:32236],817371,819837,48.52
ENSG00000228794,LINC01128,long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377],825138,859446,46.54
ENSG00000225880,LINC00115,long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211],826206,827522,52.70
ENSG00000230368,FAM41C,family with sequence similarity 41 member C [Source:HGNC Symbol;Acc:HGNC:27635],868071,876903,48.14
ENSG00000234711,TUBB8P11,tubulin beta 8 class VIII pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:32337],873292,874349,55.39
ENSG00000283040,AL669831.6,FAM166A, pseudogene P3,874529,877234,59.20
ENSG00000272438,AL645608.6,novel transcript,904834,915976,61.47
ENSG00000230699,AL645608.2,novel transcript,911435,914948,58.54
ENSG00000241180,AL645608.4,novel transcript,914171,914971,58.93
ENSG00000223764,LINC02593,long intergenic non-protein coding RNA 2593 [Source:HGNC Symbol;Acc:HGNC:53933],916865,921016,61.68
ENSG00000187634,SAMD11,sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706],923928,944581,66.58
ENSG00000188976,NOC2L,NOC2 like nucleolar associated transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:24517],944204,959309,59.55
ENSG00000187961,KLHL17,kelch like family member 17 [Source:HGNC Symbol;Acc:HGNC:24023],960587,965715,67.87
ENSG00000187583,PLEKHN1,pleckstrin homology domain containing N1 [Source:HGNC Symbol;Acc:HGNC:25284],966497,975865,62.65
ENSG00000187642,PERM1,PPARGC1 and ESRR induced regulator, muscle 1 [Source:HGNC Symbol;Acc:HGNC:28208],975204,982093,67.76
ENSG00000272512,AL645608.7,novel transcript,995966,998051,66.16
ENSG00000188290,HES4,hes family bHLH transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:24149],998962,1000172,74.32
ENSG00000187608,ISG15,ISG15 ubiquitin-like modifier [Source:HGNC Symbol;Acc:HGNC:4053],1001138,1014540,56.44
ENSG00000231702,AL645608.3,ribosomal protein L39 (RPL39) pseudogene,1008076,1008229,44.81
ENSG00000224969,AL645608.1,novel transcript,1011997,1013193,44.70
ENSG00000188157,AGRN,agrin [Source:HGNC Symbol;Acc:HGNC:329],1020123,1056118,65.71
ENSG00000242590,AL645608.5,novel transcript,1055033,1056116,62.27
ENSG00000217801,AL390719.1,uncharacterized LOC100288175 [Source:NCBI gene;Acc:100288175],1059734,1069355,64.27
ENSG00000273443,AL645608.8,novel transcript,1062208,1063288,65.12
